uniqueID,wudget,quantityAdj,pricePer,totalPricePaid,totalTaxesPaid,shipPrice,listPrice,currencyID,categoryID,listingType,auction,quantityBid,startTime,endTime,fixedTime,day,gmtHour,shippedTime,totalFeedbackN,positiveFeedbackPercent,city,state,postalCode,conditionInfo,orderStatus
1,A,1,19.53,19.53,0,4.53,15,USD,175837,FixedPriceItem,FALSE,0,3/17/19 5:17,3/17/19 5:17,3/17/19 5:17,Sunday,5:00 AM,3/26/19 22:43,723,100,Laramie,Wyoming,82073,Used,D
2,A,1,18,18,0,0,18,USD,175837,FixedPriceItem,FALSE,0,5/30/19 1:22,5/30/19 1:24,5/30/19 1:24,Thursday,1:00 AM,5/30/19 9:38,459,100,Rock Springs,Wyoming,82901,Used,D
3,A,1,15.82,15.82,0,4.53,15,USD,175837,FixedPriceItem,FALSE,0,3/25/19 23:39,3/25/19 23:39,3/25/19 23:39,Monday,11:00 PM,3/26/19 19:36,723,100,Laramie,Wyoming,82073,Used,D
4,C,1,29.98,29.98,0,0,29.98,USD,9972,FixedPriceItem,FALSE,0,2/16/19 22:23,4/15/19 18:08,,Saturday,12:00 AM,2/19/19 13:49,1288,100,Milwaukee,Wisconsin,53220,Used,D
5,A,1,26,26,0,0,26,USD,175837,FixedPriceItem,FALSE,0,2/8/19 1:32,2/8/19 1:32,2/8/19 1:32,Friday,1:00 AM,2/8/19 16:54,830,100,Milwaukee,Wisconsin,53219,New,D
6,A,1,21,21,0,7,14,USD,175837,FixedPriceItem,FALSE,0,1/24/19 4:31,1/24/19 4:31,1/24/19 4:31,Thursday,4:00 AM,1/24/19 5:00,101,0,De Pere,Wisconsin,54115,Used,D
7,A,1,20.77,20.77,0,3.82,16.95,USD,175837,FixedPriceItem,FALSE,0,3/10/19 23:54,3/10/19 23:54,3/10/19 23:54,Sunday,11:00 PM,3/11/19 0:09,4063,99.8,Stoughton,Wisconsin,53589,Used,D
8,A,1,20,20,0,0,20,USD,175837,FixedPriceItem,FALSE,0,3/1/19 6:09,3/1/19 6:09,3/1/19 6:09,Friday,6:00 AM,3/5/19 1:38,292,92.4,Milwaukee,Wisconsin,53220,Used,D
9,A,1,19.99,19.99,0,0,19.99,USD,175837,FixedPriceItem,FALSE,0,5/2/19 0:49,5/2/19 12:49,5/2/19 12:49,Thursday,12:00 PM,5/2/19 20:41,25,100,Eau Claire,Wisconsin,54703,Used,D
10,A,1,19.98,19.98,0,4.99,14.99,USD,175837,FixedPriceItem,FALSE,0,5/5/19 15:01,5/5/19 15:05,5/5/19 15:05,Sunday,3:00 PM,5/6/19 17:21,46,100,Watertown,Wisconsin,53098,Used,D
